Probes	Description	adipose	adrenal	brain	breast	colon	heart	kidney	liver	lung	lymphNode	ovary	prostate	skeltalMuscle	whiteBloodCell	testes	thyroid	testes_R	brain_R	placenta_R	foreskin_R	hLF_r2	hLF_r1
XLOC_000076	na|@chr1:19658089-19660931|	0.11132	0.34255	0.1275	0.28269	0.18185	0.15677	0.83316	0.73287	0	0.60354	0.69996	0.089325	0.19587	0.14949	0.59216	0.16234	0.88223	0.49887	0.3157	0.70869	0.46277	0.98139
XLOC_000077	na|@chr1:19852669-19858268|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80921	0	4.2767	0	0	0	0	1.6742
XLOC_000070	na|@chr1:18044181-18076473|	0	0	0	0	0.16645	0	0	0	0	0	0	0	0	0	0.50833	0	0.7443	0	0	0	0	0
XLOC_000071	na|@chr1:18712322-18715008|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000068	na|@chr1:17516277-17524112|	0	0	0	0	0	0	0.049818	0	0	0	0	0	0	0	0	0	0	0	0.38505	0.35937	0	0
XLOC_000063	na|@chr1:16847188-16848303|	0.21263	0.42532	0.33639	0.34417	0.73373	0.92402	0.55474	1.1417	1.0033	1.3636	0.33734	3.1936	1.2981	3.5033	0.87144	0	1.0669	1.2273	0.97735	0	0	0
XLOC_000061	na|@chr1:16510022-16510657|	0	0	0	0	0	0	0	0	0	0.33873	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000062	na|@chr1:16679039-16679908|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56874	0	1.7134	0	0	0	0	0
XLOC_000091	na|@chr1:23007532-23008941|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3216	0	0	0	0	0	0	0
XLOC_000090	na|@chr1:22582819-22584588|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29161	0	3.6159	0	0	0	0	0
XLOC_011397	na|@chr15:22541417-22546063|	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29353	1.9015	0	5.7979	0	0	0	0	0
XLOC_000094	na|@chr1:23908136-23919157|	0	0	0	0	0	0	0	0	0	1.2079	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_011396	na|@chr15:22525615-22527776|	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11062	0.45374	0	3.0852	0	0	0	0	0
XLOC_000095	na|@chr1:24348318-24350190|	0	0	0	0	0.5778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_011393	na|@chr15:21912350-21913857|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1929	0.66349	0	0	0	0	0	0
XLOC_000098	na|@chr1:24526729-24538183|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_011392	na|@chr15:102495087-102496557|	0	0	0	0	0	0	0	0	0.0092691	0.02625	0	0.052054	0	0	0.01578	0	0.24938	0	0	0	0	0
XLOC_000099	na|@chr1:25367663-25439611|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.391	0	0	0	0	0
XLOC_011390	na|@chr15:101835622-101838894|	0.059497	0.76871	0.56991	0.38255	0.36796	0.56037	0.32312	2.0956	0.096224	0.21465	0.43436	0.2844	0.36476	0	0.41925	0.60948	0.65508	0.48004	0.31314	0	0	0.17381
XLOC_000082	na|@chr1:20523055-20538401|	0	0	0.34697	0	0	0	0	0	0.32555	0	0.64799	0	0	0	0.98492	0.16912	0	0	0	0	0	0
XLOC_000083	na|@chr1:20569587-20571148|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56069	0	1.2988	0	0	0	0	0
XLOC_000085	na|@chr1:21742814-21743867|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10052	0.043936	0	0	0	0	0	0
XLOC_000086	na|@chr1:21744781-21746509|	0	0	0	0	0	0	0	0	0	0.91601	0.55551	0	2.5986	0	0.51332	0	0	0	0	0	0	0
XLOC_000087	na|@chr1:21912964-21917680|	0	0	0	0	0	0	0	0	0.10351	0	0	0	0	0	0	0	0	0	0	0	0	0.23732
XLOC_007108	na|@chr8:67094959-67099083|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2219	0	0	0	0	0	0	0
XLOC_004394	na|@chr5:56066625-56068123|	0	0.14965	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56873	0	0	0	0	0	0
XLOC_007107	na|@chr8:66898863-66933720|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3467	0	3.6693	0	0	0	0	0
XLOC_007109	na|@chr8:67112685-67121948|	0	0	0.49133	0.33443	0	0	1.326	0.40369	0	0	0.19753	0.47868	0	0	0.4575	0.44849	0	0	0.7394	0	0	0
XLOC_004397	na|@chr5:56869853-56913301|	0	0	4.9148	1.7049	0	0	0	0	0.14061	0	0	0	0	0	0.61135	0	0.96284	9.996	0	0	0	0
XLOC_004398	na|@chr5:56946518-56976592|	0	0	0.353	0.68514	0	1.0694	0	6.264	0	0	0	0	0	0	0.10344	0	0	0	0	0	0	0
XLOC_004399	na|@chr5:59783966-59843484|	0	0.83584	4.0926	0.90916	1.7625	0	3.2391	0	1.546	0.087403	3.9589	22.308	0.067291	0	0.49997	0	2.6543	6.1695	3.1309	0	0	0
XLOC_007100	na|@chr8:64297396-64330488|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70867	0	0	0	0	0
XLOC_007102	na|@chr8:65309155-65324649|	0	0	0.76102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_007101	na|@chr8:64346401-64382761|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37154	0	0	0	0	0	0	0
XLOC_007104	na|@chr8:66087910-66096430|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7809	0	5.6713	0	0	0	0	0
XLOC_007103	na|@chr8:66079775-66084749|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1132	0	0	0	0	0
XLOC_007105	na|@chr8:66439242-66474901|	0	0	0.48605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82515	0	0	0	0
XLOC_011370	na|@chr15:96533822-96795377|	0	0	0	0	0	0	0.92204	0	0	0	0.29859	0	0	0	0	0	0	0	0	0	0	0
XLOC_011374	na|@chr15:98083276-98102321|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1236	0	0	0	0	0
XLOC_011373	na|@chr15:97954423-98065200|	0	0	0	0	0	0	0	0	0	0	0	0.57719	0	0	1.3458	0	0	0	0	0	0	0
XLOC_011371	na|@chr15:96885116-96888057|	0.29246	0.99848	0	0.2646	0	0	1.3781	0	0	0.30629	0.71773	0	0	0	0.48052	0	0	0	0	0	0	0
XLOC_011378	na|@chr15:99557906-99561165|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84589	0	1.5034	0	0	0	0	0
XLOC_011376	na|@chr15:98563876-98565376|	0	0	0.40367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_011375	na|@chr15:98105174-98115885|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72328	0	0	0	0	0	0	0
XLOC_004392	na|@chr5:55354876-55363199|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_011379	na|@chr15:99570737-99574238|	0	0.16921	0.2494	0.092325	0	0	0	0	0	0	0.27689	0.22095	0	0	0.83117	0.23528	0.81704	0	0	0	0	0
XLOC_004384	na|@chr5:53939759-53942025|	0	0	0	0	0	0	0.44915	0	0	0	0	0.4578	0	0.17626	0.48326	0.26282	0	0	0	0	0	0
XLOC_004385	na|@chr5:54350255-54350968|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004382	na|@chr5:52405686-52410950|	1.1137	0.86838	0.90659	1.5426	0.59767	2.4776	2.3558	1.1658	0.50287	0.6593	1.814	2.8761	0.3795	0.7306	2.9838	1.8607	4.1323	1.5621	0.29215	1.1408	0.93643	2.244
XLOC_004386	na|@chr5:54359006-54362058|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_011380	na|@chr15:99635727-99641439|	0	0	0	0	0	0	0	0	0	0.032345	0	0.036456	0.54799	0	0.064013	0.50507	0.28844	0	0	0	0	0
XLOC_011383	na|@chr15:100362487-100882183|	3.2761	5.0769	0.89962	3.2865	4.3229	1.4226	3.263	1.1124	4.6163	4.0398	5.953	4.5679	1.0174	5.6105	6.3859	2.6153	6.4784	0.19627	0.057815	5.2208	0	0
XLOC_011382	na|@chr15:99940269-99946149|	0	0	0	0	0	0	0	0	0	0.61277	0.23826	0	0	0	0	0	0	0	0	0	0	0
XLOC_011384	na|@chr15:100882801-100892899|	0.041118	0.022047	0.069586	0.077851	0.23377	0.026737	0.012977	0.29249	0.0899	0.025265	0.25238	0.25922	0.43389	0.27829	4.5086	0.021325	9.2474	0	0.30465	0	0	0
XLOC_011387	na|@chr15:101273238-101274044|	0	0	0	0	0	0	0.45388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_011389	na|@chr15:101708498-101709271|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6259	0	0	0	0	0	0	1.5088
XLOC_011388	na|@chr15:101390035-101408768|	0.10343	0.36864	1.5524	0.85792	0.027748	0	0.07807	0.031333	0	0.24147	1.1039	0.32375	0	0	0.12123	0	0.43445	0.4434	0	0	0	0
XLOC_004381	na|@chr5:51585584-51621194|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4983	0	1.9209	0	0	0	0	0
XLOC_004380	na|@chr5:51281811-51283777|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93796	0	0	0	0	0	0	0
XLOC_007126	na|@chr8:77318798-77509924|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96403	0	0	0	0	0	0	0
XLOC_007125	na|@chr8:77318798-77509924|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83003	0	0	0	0	0	0	0
XLOC_005902	na|@chr6:160536100-160539659|	0	0	0	0	0	0	0	1.0892	0	0	0	0	0	0.066343	0	0	0	0	0	0	0	0
XLOC_005901	na|@chr6:160060338-160061133|	0	0	0	0	0.36436	0	0	0	0.47099	0.79019	0.20983	0.24794	1.8998	0	0	0	0	0	0	0	0	0
XLOC_005900	na|@chr6:159990580-160016234|	1.0062	0.13019	0.17841	0.15044	0.85295	0.37184	1.3343	0.20357	1.6204	2.3453	0.15835	1.5252	14.315	0.30291	0.34138	3.5248	0	0	0	0	0	0
XLOC_007121	na|@chr8:75515379-75541107|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1427	0	0	0	0	0	0	0
XLOC_007124	na|@chr8:77070845-77075228|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3529	0	0	0	0	0	0	0
XLOC_007123	na|@chr8:76135660-76190696|	0	0	0	0	0.087994	0.11585	0.16547	0.21556	0	0	0	0	0	0	0.20722	0	0	0	0.70566	0	0	0.40032
XLOC_011351	na|@chr15:91446089-91446964|	1.9945	1.3581	3.3068	2.1797	0.84369	3.7073	0.81784	1.6233	1.7417	1.3841	1.0913	1.4153	6.2028	1.6556	1.758	2.854	5.9776	2.0972	6.8829	2.9792	0	1.6341
XLOC_011350	na|@chr15:91382898-91396016|	0	0	0	0.53525	0	0	0	0	0.52433	0.48264	0	0.62616	0	0.68523	0	1.9764	0	0	0	0	0	0
XLOC_007120	na|@chr8:74281719-74282833|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1487	0	3.9851	0	0	0	0	0
XLOC_011359	na|@chr15:93632684-93763011|	0	0	1.2668	0	0	0	0	0	0	0.52097	0	0	0	0	1.749	0.24296	0	0	0	0	0	0
XLOC_011358	na|@chr15:93583947-93584641|	0	0	0	0	0	0	0	0	0	0.25928	0	0.59888	0	0	0.44521	0	0	0	0	0	0	0
XLOC_011354	na|@chr15:92155313-92180308|	0	0	0	0	0	0	0.36887	0	0	0	0	0	0	0	0.17826	0	1.2728	0	0	0	0	0
XLOC_011353	na|@chr15:92006568-92038078|	0	0	0	0	0	0	0	0	0	0	0.041877	0	0	0	0	0	0	0	0	0	0	0
XLOC_007119	na|@chr8:71437328-71448723|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.329	0	1.8588	0	0	0	0	0
XLOC_007118	na|@chr8:70234190-70238992|	0	0	0	0	0	0	0.023318	0	0	0	0	0	0	0	0.054815	0	1.2579	0	0	0	0	0
XLOC_007116	na|@chr8:69967581-69980750|	0	2.349	0	0.14877	0	0	0	0	0	0	0	0	0	0	0.11963	0	0	0	0	0	0	0
XLOC_007115	na|@chr8:69836627-69942176|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3419	0	5.3301	0	0	0	0	0
XLOC_007112	na|@chr8:67876444-67894344|	0	0	0.48268	0	0	0	0	0	1.9127	0	0.82461	0	0	0	7.6114	0	3.8821	0	0	0	0	0
XLOC_007111	na|@chr8:67331823-67341212|	0	0	0.029389	0.059959	0	0	0.17589	0.034866	0	0.029753	0.044445	0	0	0.042545	0.15154	0.063785	0.39006	0	0.13418	0	0	0
XLOC_007110	na|@chr8:67122576-67123886|	0	0	0.83	0	0	0	1.1975	0	0	0	0	0.57909	0	0	0.50347	0	0	0	0	0	0	0
XLOC_011361	na|@chr15:94026417-94041974|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0387	0	0	0	0	0	0	0
XLOC_011360	na|@chr15:93916794-93919457|	0	0.5269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_011362	na|@chr15:94073470-94086452|	0	0.8095	0	0	0	0	0	0	0	0	0	0	0	0	0.41021	0	0	0	0	0	0	0
XLOC_011369	na|@chr15:96533822-96795377|	0	0.46429	0	0	0	0	0	0	0.31253	0	0.24596	0	0.69326	0	0.83705	0	0	0	0	0	0	0
XLOC_011368	na|@chr15:95752084-96051089|	2.2205	8.1239	1.1364	1.5894	2.2713	1.5976	4.9838	0.43047	1.7527	6.4903	9.4168	1.1681	0.076488	0	4.1102	1.3464	1.0562	0	0	0	0	0
XLOC_011365	na|@chr15:95222487-95222914|	0	0	0.48393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_011367	na|@chr15:95619719-95622243|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55695	0	0	0	0	0	0	0
XLOC_011366	na|@chr15:95562062-95613962|	0	0.10277	0	0	0	0	0	0	0	0	0	0	0	0	0.60552	0	0.94971	0	0	0	0	0
XLOC_012467	na|@chr17:38276064-38278125|	0.7505	0.69321	0.78707	0.41623	0.5087	0.16787	0	0	1.1752	0.21329	0.97731	1.8421	0.52285	0	0.86814	1.1977	3.9587	1.8723	0.34113	1.3439	0.51951	0.58248
XLOC_007141	na|@chr8:86864118-86866829|	0	0.60779	0	0.30402	0.15893	0.12219	0.13323	0	0.31708	0	0	0.12623	0	0	0	0.17994	0	0	0	0	0	0
XLOC_012462	na|@chr17:37750970-37754703|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41971	0	0	0	0	0	0	0
XLOC_007145	na|@chr8:88937963-88938489|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47437	0	0	0	0	0	0	0
XLOC_008712	na|@chr10:5650437-5652756|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_008711	na|@chr10:5636953-5638081|	0	0.19797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50899
XLOC_007146	na|@chr8:89578145-89611125|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8496	0	4.1781	0	0	0	0	0
XLOC_008710	na|@chr10:5606766-5608680|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3742	0	2.7483	0	0	0	0	0
XLOC_007149	na|@chr8:91546764-91566828|	0	0	0.39736	0	0	0	0	0	0	0	0	0	0	0	2.0531	0.44143	0	0	0	0	0	0
XLOC_007148	na|@chr8:91516513-91516880|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99495	0	0	0	0	0	0	0
XLOC_008719	na|@chr10:6298405-6316084|	0.34054	0	0	0	0	0	0	1.107	0	0	0	0	0	0.3408	0	0	0	0	0	0	0	0
XLOC_008713	na|@chr10:5658824-5660124|	0	0	0	0	0	0	0.41335	0	0	0	0	0.14112	0	0	0	0	0	0	0	0	0	0
XLOC_012471	na|@chr17:38688845-38695010|	0	0.95268	0	0	0	0	0	0.55472	0	0	0.22636	0	0	0	0	0	0	0	0	0	0	0.65583
XLOC_007131	na|@chr8:81215191-81220555|	0.45504	0	0	4.1045	0	0	0	0	0.28243	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_001699	na|@chr2:147595316-147607878|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78502	0	0	0	0	0
XLOC_008701	na|@chr10:4242828-4285981|	0	0	0	0	0.36519	0.38711	0	0	0	0	0	0	1.1602	0	0	1.1202	0	0	0	0	0	0
XLOC_008700	na|@chr10:4242828-4285981|	7.3361	5.5759	0.18034	2.8218	8.3251	23.086	0.68715	0.05335	1.8195	6.6558	0.18191	6.6395	9.2833	0	3.0084	7.6413	0.14385	0	0.48134	0	0	0
XLOC_007135	na|@chr8:82608602-82610929|	0.12392	0.56702	1.031	0.29518	0.34878	0.089538	0.47886	0.057845	0.1665	0	0.65641	0.34655	0.18318	0.066241	0.32696	0.79985	0	0.55246	0	0.17837	0	0.11275
XLOC_007136	na|@chr8:83020803-83072758|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0986	0	3.6209	0	0	0	0	0
XLOC_001698	na|@chr2:146672657-146688714|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_001693	na|@chr2:144557035-144577168|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_008707	na|@chr10:5558892-5565140|	0	0	0.061048	0.14503	0	0	0.061339	0	0	0	0	0	0	0	0.10868	0	0	0	0	0	0	0
XLOC_008706	na|@chr10:5307995-5313199|	0	0	0	0.36877	0	0	0.45823	0	0	0	0	0	0	0.38925	0	0	0	0	0	0	0	0
XLOC_001691	na|@chr2:140123734-140136717|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_008709	na|@chr10:5605287-5606443|	0	0	0	0.43524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_001692	na|@chr2:140227344-140235317|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_008708	na|@chr10:5591590-5592847|	0	0	0	0	0	0	0.19533	0	0	0	0	0.12184	0	0	0	0	0	1.9118	0	0	0	0
XLOC_008703	na|@chr10:4621443-4720324|	0.36931	0.074018	0	0	0	0.32031	0.12849	0.12144	0.050566	0	0	0.063796	0.097677	0	0	0.12436	0.59769	0	0	0	0	0.45928
XLOC_001690	na|@chr2:140017508-140021549|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3952	0	3.8281	0	0	0	0	0
XLOC_008702	na|@chr10:4457496-4468371|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_008705	na|@chr10:5196654-5227150|	0	0	0	0	0	0	0	0.79493	0	0	0	0	0	0.19585	0.09005	0	0.23305	0	0	0	0	0
XLOC_008704	na|@chr10:4790106-4806336|	0	0	0	0	0	0	0	0	0	0	0	0	2.1247	0	0	0	0	0	0	0	0	0
XLOC_012449	na|@chr17:34365071-34367984|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62243	0	0	0	0	0	0	0
XLOC_000015	na|@chr1:1210338-1215800|	0	1.5271	1.1731	0.5663	0.48987	0	0.52582	0	0	0.82031	1.6882	0.62982	0.57501	0	1.7659	0.53641	16.074	0	0	1.6355	0	3.0509
XLOC_012444	na|@chr17:33558468-33569908|	1.1516	2.3613	0.47687	1.4935	0.29329	0.28278	0.43986	0.054711	0.83693	1.1428	0.81878	1.4124	0.39171	2.0485	0.2556	2.1828	0.48813	0.98398	0.3849	0	0	0.11907
XLOC_000017	na|@chr1:1317608-1318166|	0	0.7176	0.42872	0.30851	0.85379	0.45892	1.3174	0.71642	0	0	0.88965	0	0	0	2.4313	1.3425	2.0608	0	0	0	0	0
XLOC_012443	na|@chr17:32982356-32983087|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44319	0	0	0	0	0	0	0
XLOC_012442	na|@chr17:32546136-32578928|	0	0.57963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000019	na|@chr1:1533412-1545864|	0	0.98249	4.3424	2.1037	0	2.0993	3.3745	0	0.96368	1.9077	1.7306	0.52063	0	3.4746	7.0111	1.3608	16.799	16.048	4.0439	6.5471	0	2.173
